U.S. Product Supplied of Finished Motor Gasoline,,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MGFUPUS2&f=A,,
18:25:20 GMT-0400 (Eastern Daylight Time),,
Data source: U.S. Energy Information Administration,,
id,Year,U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
1,2022,8777
2,2021,8816
3,2020,8049
4,2019,9309
5,2018,9329
6,2017,9327
7,2016,9317
8,2015,9178
9,2014,8921
10,2013,8843
11,2012,8682
12,2011,8753
13,2010,8993
14,2009,8997
15,2008,8989
16,2007,9286
17,2006,9253
18,2005,9159
19,2004,9105
20,2003,8935
21,2002,8848
22,2001,8610
23,2000,8472
24,1999,8431
25,1998,8253
26,1997,8017
27,1996,7891
28,1995,7789
29,1994,7601
30,1993,7476
31,1992,7268
32,1991,7188
33,1990,7235
34,1989,7328
35,1988,7336
36,1987,7206
37,1986,7034
38,1985,6831
39,1984,6693
40,1983,6622
41,1982,6539
42,1981,6588
43,1980,6579
44,1979,7034
45,1978,7412
46,1977,7177
47,1976,6978
48,1975,6675
49,1974,6537
50,1973,6674
51,1972,6376
52,1971,6014
53,1970,5785
54,1969,5526
55,1968,5261
56,1967,4958
57,1966,4808
58,1965,4593
59,1964,4403
60,1963,4334
61,1962,4199
62,1961,4043
63,1960,3969
64,1959,3860
65,1958,3711
66,1957,3615
67,1956,3548
68,1955,3463
69,1954,3194
70,1953,3110
71,1952,2954
72,1951,2985
73,1950,2616
74,1949,2410
75,1948,2280
76,1947,2119
77,1946,1979
78,1945,1587
