id,Year,Barrels_per_Day
1,2022-01-01,8777
2,2021-01-01,8816
3,2020-01-01,8049
4,2019-01-01,9309
5,2018-01-01,9329
6,2017-01-01,9327
7,2016-01-01,9317
8,2015-01-01,9178
9,2014-01-01,8921
10,2013-01-01,8843
11,2012-01-01,8682
12,2011-01-01,8753
13,2010-01-01,8993
14,2009-01-01,8997
15,2008-01-01,8989
16,2007-01-01,9286
17,2006-01-01,9253
18,2005-01-01,9159
19,2004-01-01,9105
20,2003-01-01,8935
21,2002-01-01,8848
22,2001-01-01,8610
23,2000-01-01,8472
24,1999-01-01,8431
25,1998-01-01,8253
26,1997-01-01,8017
27,1996-01-01,7891
28,1995-01-01,7789
29,1994-01-01,7601
30,1993-01-01,7476
31,1992-01-01,7268
32,1991-01-01,7188
33,1990-01-01,7235
34,1989-01-01,7328
35,1988-01-01,7336
36,1987-01-01,7206
37,1986-01-01,7034
38,1985-01-01,6831
39,1984-01-01,6693
40,1983-01-01,6622
41,1982-01-01,6539
42,1981-01-01,6588
43,1980-01-01,6579
44,1979-01-01,7034
45,1978-01-01,7412
46,1977-01-01,7177
47,1976-01-01,6978
48,1975-01-01,6675
49,1974-01-01,6537
50,1973-01-01,6674
51,1972-01-01,6376
52,1971-01-01,6014
53,1970-01-01,5785
54,1969-01-01,5526
55,1968-01-01,5261
56,1967-01-01,4958
57,1966-01-01,4808
58,1965-01-01,4593
59,1964-01-01,4403
60,1963-01-01,4334
61,1962-01-01,4199
62,1961-01-01,4043
63,1960-01-01,3969
64,1959-01-01,3860
65,1958-01-01,3711
66,1957-01-01,3615
67,1956-01-01,3548
68,1955-01-01,3463
69,1954-01-01,3194
70,1953-01-01,3110
71,1952-01-01,2954
72,1951-01-01,2985
73,1950-01-01,2616
74,1949-01-01,2410
75,1948-01-01,2280
76,1947-01-01,2119
77,1946-01-01,1979
78,1945-01-01,1587
